trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,Thank_you.started,text_2.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
89.0666347,89.0818514,89.5819115,89.5819115,89.5819115,89.8823643,90.1826229,left,-1,1,1,0.5899979,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
90.1829013,90.1985166,90.6986077,90.6986077,90.6986077,90.9983906,91.3655357,right,1,1,1,0.6526546,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
91.365811,91.381474,91.8814694,91.8653662,91.8653662,92.1646963,93.1819025,right,1,1,1,1.3119565,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
93.1821638,93.197818,93.698425,93.6822059,93.6822059,93.9818821,94.5643621,right,1,1,1,0.8768527,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
94.5646258,94.5808188,95.0812623,95.064466,95.064466,95.3646156,95.6319311,right,1,1,1,0.5601445,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
95.6322059,95.6475891,96.1472261,96.1309003,96.1309003,96.4311145,96.8480424,right,1,1,1,0.7099795,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
96.8483074,96.864114,97.3638322,97.3472619,97.3472619,97.6472164,98.1314761,right,1,1,1,0.7833402,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
98.1317556,98.1477078,98.6471405,98.6471405,98.6471405,98.9469214,100.0155643,left,-1,1,1,1.3646945,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
100.0158161,100.0307285,100.5307286,100.5307286,100.5307286,100.8302379,101.130797,left,-1,1,1,0.5873883,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
101.1310726,101.1470082,101.6470323,101.630335,101.630335,101.9303737,102.3973119,left,-1,1,1,0.7624479,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
102.3975752,102.4131293,102.913644,102.913644,102.913644,103.213359,103.3971771,left,-1,1,1,0.4754914,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
103.3974529,103.413404,103.9136463,103.8968516,103.8968516,104.1959208,104.6813093,right,1,1,1,0.783026,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
104.681582,104.6969058,105.1972694,105.1972694,105.1972694,105.4963991,105.9137047,right,1,1,1,0.7030787,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
105.9139582,105.9290981,106.4295952,106.4129349,106.4129349,106.7124588,106.9967192,right,1,1,1,0.5827206,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
106.9969915,107.0119641,107.5132859,107.4965973,107.4965973,107.7963119,108.2473369,right,1,1,1,0.7447001,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
108.2475992,108.2627189,108.762447,108.762447,108.762447,109.0626423,109.4632462,left,-1,1,1,0.6904693,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
109.4635016,109.4794486,109.9799197,109.961871,109.961871,110.2622665,110.563458,right,1,1,1,0.5958417,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
110.5637203,110.5789341,111.0788907,111.0788907,111.0788907,111.3791169,111.6297758,left,-1,1,1,0.5452088,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
111.6300372,111.6460436,112.1454505,112.1296996,112.1296996,112.4288864,113.0125024,left,-1,1,1,0.8796324,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
113.0127707,113.0287973,113.5290623,113.5290623,113.5290623,113.8285114,114.1802214,right,1,1,1,0.6506678,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
114.1804935,114.1956299,114.6951291,114.6951291,114.6951291,114.9952361,115.1967242,right,1,1,1,0.5006004,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
115.1968738,115.2121381,115.7108112,115.7108112,115.7108112,116.0107926,116.2796809,right,1,1,1,0.5604901,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
116.2799449,116.2952592,116.7953334,116.7953334,116.7953334,117.0950513,118.0455254,right,1,1,1,1.2426873,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
118.045799,118.0617914,118.5618334,118.5448161,118.5448161,118.8445205,119.1446051,left,-1,0,0,0.5982186,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
119.1449487,119.1611411,119.6613988,119.6451504,119.6451504,119.9444544,120.1287951,left,-1.5,0,0,0.4779785,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
120.1290589,120.1448359,120.6443417,120.6443417,120.6443417,120.9446247,121.1454566,right,2,1,1,0.4900294,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
121.1457228,121.161123,121.6610181,121.6610181,121.6610181,121.9611683,122.2291229,right,2,1,1,0.5633045,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
122.2293821,122.2442289,122.7450351,122.7450351,122.7450351,123.0443676,123.311464,left,-2,1,1,0.5604283,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
123.3117699,123.3274906,123.8270235,123.8108858,123.8108858,124.127527,124.461395,left,-1.5,1,1,0.6448304,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
124.4616776,124.477005,124.9784374,124.9608565,124.9608565,125.2608941,125.5109927,left,-1.5,1,1,0.5353702,,,,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
,,,,,,,,,,,,125.5111476,125.5273509,128.4938787,4,1,2025-09-02_11h24.39.969,Staircase,,2025.1.1,59.66818522,2025-09-02 11h24.49.569768 +0530
