pos,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,text.started,Welcome.stopped,trial.started,Fixation.started,Line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_You.started,text_2.started,text_2.stopped,Thank_You.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,36,0,9,x,1,0.3623426998965442,None,9,0,36,0,,,,,94.46660260017961,,,,,94.45095940004103,94.46660260017961,95.4670613000635,95.4670613000635,95.4670613000635,95.4670613000635,95.4670613000635,96.4657170001883,96.4657170001883,96.83328450005502,x,1,0.3623426998965442,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,37,1,9,v,1,0.2603589999489486,None,9,1,37,1,,,,,96.8488006000407,,,,,96.833690200001,96.8488006000407,97.84950560005382,97.84950560005382,97.84950560005382,97.84950560005382,97.84950560005382,98.83328420016915,98.83328420016915,99.09941840008833,v,1,0.2603589999489486,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,38,2,9,c,1,0.34755860012955964,None,9,2,38,2,,,,,99.11546410014853,,,,,99.09984949999489,99.11546410014853,100.11505180015229,100.11505180015229,100.11505180015229,100.11505180015229,100.11505180015229,101.098705700133,101.098705700133,101.44936330011114,c,1,0.34755860012955964,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,39,3,9,z,1,0.5669863000512123,None,9,3,39,3,,,,,101.46543970005587,,,,,101.44982030009851,101.46543970005587,102.46525800018571,102.46525800018571,102.46525800018571,102.46525800018571,102.46525800018571,103.44853810011409,103.44853810011409,104.03200960019603,z,1,0.5669863000512123,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,40,0,10,x,1,0.6642964000348002,None,10,0,40,0,,,,,104.04770520003513,,,,,104.03241300000809,104.04770520003513,105.03128230012953,105.03128230012953,105.03128230012953,105.03128230012953,105.0480961999856,106.04790290002711,106.04790290002711,106.71489330008626,x,1,0.6642964000348002,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,41,1,10,v,1,0.703898899955675,None,10,1,41,1,,,,,106.73128570010886,,,,,106.71521460008807,106.73128570010886,107.71436940017156,107.71436940017156,107.71436940017156,107.71436940017156,107.7308002000209,108.71415960020386,108.71415960020386,109.43153499998152,v,1,0.703898899955675,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
50,c,42,2,10,c,1,0.5429322000127286,None,10,2,42,2,,,,,109.4475875000935,,,,,109.4318487001583,109.4475875000935,110.44781050016172,110.44781050016172,110.44781050016172,110.44781050016172,110.44781050016172,111.43148590018973,111.43148590018973,111.98099409998395,c,1,0.5429322000127286,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-150,z,43,3,10,z,1,1.1194972998928279,None,10,3,43,3,,,,,111.99674820015207,,,,,111.98138070013374,111.99674820015207,112.99689010018483,112.99689010018483,112.99689010018483,112.99689010018483,112.99689010018483,113.98080070014112,113.98080070014112,115.1151485000737,z,1,1.1194972998928279,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
-50,x,44,0,11,x,1,0.4671012999024242,None,11,0,44,0,,,,,115.13092740019783,,,,,115.11554840020835,115.13092740019783,116.12957000010647,116.12957000010647,116.12957000010647,116.12957000010647,116.14638990000822,117.12957940017805,117.12957940017805,117.59709740011021,x,1,0.4671012999024242,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
150,v,45,1,11,v,1,0.7816064001526684,None,11,1,45,1,,,,,117.61304600001313,,,,,117.59742740006186,117.61304600001313,118.61297690006904,118.61297690006904,118.61297690006904,118.61297690006904,118.61297690006904,119.59660629997961,119.59660629997961,120.37997880019248,v,1,0.7816064001526684,None,,,,,,,,,2,001,2025-10-03_16h07.43.707,Motor Sequence 4.0,,2025.1.1,59.94779750708082,2025-10-03 16h08.08.348535 +0530,
